id,nome,cpf,email,telefone,data_nascimento,cidade,estado,data_cadastro,excluido_lgpd
209,Hadassa Albuquerque,348.602.791-31,camargobrenda@example.com,61 99902-3557,1969-06-24,Andrade de Ramos,BA,2025-01-25,0
210,Natália Nascimento,576.904.231-16,costelabianca@example.com,+55 33 92405-6829,1978-06-14,Cirino do Campo,SE,2023-05-07,0
211,Sra. Ana Beatriz da Mata,617.823.509-77,henry-gabrielfreitas@example.org,+55 83 91780-7823,1996-10-29,Mendes do Galho,MA,2023-12-30,0
212,Carlos Eduardo Moreira,230.864.751-53,rodrigueserick@example.com,84 90184-0943,1998-06-17,Costa do Oeste,MA,2024-01-29,0
213,Dr. Dante da Mata,294.067.531-70,vitor-hugo24@example.net,+55 95 92149-5870,1964-07-06,Alves,PR,2024-12-12,0
214,Cauê Gomes,016.384.725-80,brenda38@example.org,84 99217-1747,2007-02-26,da Conceição de Câmara,BA,2025-07-23,0
215,Joana Fonseca,625.983.407-10,wcamargo@example.com,83 92459-9281,2004-04-13,Silva do Campo,MT,2026-06-30,0
216,Kevin Nascimento,768.149.532-00,fernandesoliver@example.net,71 96958-3219,1983-07-14,Camargo de Pastor,RN,2025-06-12,0
217,Aylla Macedo,246.087.319-04,borgespedro-henrique@example.org,+55 11 92278-4699,1977-03-09,Costa de Costela,RO,2024-01-26,0
218,Kevin Lopes,510.463.897-93,isis00@example.net,44 91403-6965,2005-05-24,Guerra das Flores,PA,2024-01-12,0
219,Emanuella Melo,236.798.140-03,antoniobarbosa@example.net,+55 15 92762-1267,1982-10-13,Pinto da Serra,PB,2023-08-02,0
220,Milena Gomes,532.840.679-65,juliana89@example.com,+55 19 90975-1971,1980-05-08,Siqueira,SC,2024-06-27,0
221,Ravi Lucca Moreira,189.730.254-14,sophie07@example.com,97 97956-5442,1981-07-04,Sales,RN,2026-05-04,0
222,Dra. Joana Araújo,720.584.916-02,cardosomirella@example.org,15 94294-4401,1996-09-07,Pastor,SC,2023-12-24,0
223,Maria Eduarda Cavalcanti,437.190.258-88,mayasa@example.com,53 93723-9504,1955-12-21,Aragão,CE,2025-06-27,0
224,Liz Melo,836.579.410-10,salbuquerque@example.com,51 95801-8569,1977-04-06,Farias Paulista,GO,2024-05-19,0
225,Matteo Martins,395.761.280-21,azevedoapollo@example.com,+55 45 98175-3443,2000-04-13,Alves,RN,2023-02-07,0
226,Helena Peixoto,198.647.320-13,sampaioleo@example.com,19 97174-6542,1951-12-11,da Mota,SP,2022-12-05,0
227,Lívia Araújo,492.306.178-22,marianecaldeira@example.org,71 93917-4101,1949-12-06,Oliveira,SC,2024-04-24,0
228,Allana Monteiro,208.539.146-05,aoliveira@example.net,91 97661-8306,1962-09-27,Campos de Nunes,PI,2025-12-28,0
229,Liz Guerra,015.429.386-51,brunogomes@example.net,+55 79 94615-7173,1970-02-09,Andrade,DF,2024-02-07,0
230,Isabella Mendonça,614.379.058-20,fernandesbryan@example.com,+55 51 93878-2931,1947-05-31,Sousa,BA,2025-09-30,0
231,Ravy Pinto,032.916.745-61,davi-lucascaldeira@example.org,93 99931-3656,1978-12-15,Campos Verde,PI,2025-06-19,0
232,Augusto Pastor,251.097.364-99,lunada-cruz@example.net,+55 22 92196-2071,1955-01-12,Abreu,CE,2024-01-20,0
233,Larissa Leão,723.158.960-02,brenopeixoto@example.org,93 99145-6083,1951-10-02,Campos,PE,2025-09-09,0
234,Sr. Ravi Vargas,340.176.985-57,caioaragao@example.net,46 94364-5970,1952-03-13,Sousa,AL,2025-04-26,0
235,Emanuel Viana,071.983.256-02,raul15@example.org,+55 45 93636-3179,2008-08-15,Aragão de Lopes,BA,2024-12-20,0
236,Mirella Cavalcanti,652.381.740-71,jose-miguel09@example.org,15 92177-6253,1960-05-24,Pereira da Serra,SE,2026-08-19,0
237,Eloá Oliveira,831.946.725-09,ada-mota@example.net,69 93356-9392,1999-10-04,Leão,AL,2025-05-26,0
238,Dra. Ana Beatriz Lima,867.950.314-20,novaisapollo@example.net,64 93254-3107,1948-05-30,Castro dos Dourados,RJ,2024-09-08,0
239,Rafael Martins,269.873.054-47,vsales@example.net,+55 19 94649-8931,1996-07-15,Sousa do Norte,PE,2025-03-02,0
240,Sr. Daniel Gomes,570.261.893-95,brunada-costa@example.net,+55 49 97933-5548,2007-08-12,da Mota do Norte,AP,2025-07-22,0
241,Raquel Montenegro,817.546.293-00,correiamaria-cecilia@example.org,+55 38 96241-1241,1971-01-21,Monteiro,BA,2024-02-26,0
242,Alícia da Rocha,682.379.450-00,marcos-vinicius10@example.org,99 95695-5798,2005-03-25,Marques de da Rosa,RJ,2023-07-22,0
243,Enzo Gabriel Vieira,437.260.185-90,ncavalcante@example.org,17 92222-3105,1954-08-31,Macedo,GO,2026-07-04,0
244,Arthur Gabriel Rios,592.734.168-37,alvesjade@example.com,+55 64 97520-8854,1970-11-04,da Rocha de Sá,RJ,2023-06-21,0
245,Melina Fernandes,170.954.863-01,opinto@example.com,44 91509-3983,1991-01-25,Costa do Sul,AP,2023-04-24,0
246,Aurora Moraes,637.245.091-70,tcasa-grande@example.com,47 96504-5547,1982-04-29,Cunha,SC,2026-04-19,0
247,Sra. Melina da Paz,268.145.039-05,maria-laura85@example.org,49 91064-6287,2006-02-06,Costa,CE,2024-07-29,0
248,Yuri Mendonça,048.376.192-31,viniciusda-rosa@example.net,85 91462-7301,2002-04-28,Monteiro de Minas,RN,2024-04-23,0
249,Rafaela Nunes,647.502.913-07,casa-grandeantonella@example.com,+55 61 95204-5650,1996-06-03,da Rocha do Galho,RS,2024-03-22,0
250,Fernando Teixeira,125.687.439-64,nascimentoclarice@example.org,+55 14 92845-7652,1950-11-30,Cunha,BA,2024-11-14,0
251,Vinicius Nascimento,816.305.947-84,ana-livia52@example.com,99 95240-1322,1979-12-10,das Neves,BA,2023-08-17,0
252,Otávio Sales,190.635.742-07,vieiraolivia@example.net,+55 32 97140-1401,1959-12-19,Pereira,DF,2023-03-29,0
253,Francisco Rios,501.792.468-01,mirellanunes@example.org,+55 45 99083-3428,1985-09-02,Silveira,AM,2026-07-08,0
254,Olívia Fonseca,927.501.843-04,oliviada-conceicao@example.com,+55 48 95171-8275,2008-07-30,Novais do Norte,AP,2023-08-06,0
255,Matheus da Paz,749.183.260-13,meloemilly@example.org,+55 14 97167-8112,1968-01-06,Guerra Verde,AM,2024-10-13,0
256,Benício Fonseca,359.470.182-41,yago65@example.com,63 97842-7114,1996-02-21,Monteiro de da Conceição,RS,2026-08-15,0
257,Benjamim Azevedo,702.349.168-69,ribeiroraquel@example.com,84 93477-8485,1954-11-05,Teixeira,AL,2022-10-24,0
258,Matheus Machado,567.309.128-12,marianelopes@example.org,27 96719-7889,1974-12-22,Melo de Novais,CE,2026-06-06,0
259,Julia Monteiro,965.827.034-47,emanuellyferreira@example.net,+55 17 95616-5565,1980-03-01,Ribeiro,ES,2022-12-03,0
260,Luana Pastor,194.028.657-30,marqueslavinia@example.net,97 96407-9056,1962-07-15,Duarte Verde,AM,2023-09-07,0
261,Gustavo Fernandes,785.142.960-94,yporto@example.org,+55 86 94404-9639,2000-09-10,Silva,RJ,2024-10-05,0
262,Dr. Bernardo Nunes,876.120.539-77,iribeiro@example.com,+55 83 96649-8782,1952-02-18,Pires,RR,2025-03-15,0
263,Theo Cunha,746.850.132-71,rodrigocassiano@example.net,21 96651-3644,1980-10-24,da Cunha,RO,2026-05-10,0
264,Isabella Camargo,230.198.456-70,cramos@example.org,+55 67 94204-4820,1986-08-07,Viana de Almeida,AL,2023-09-09,0
265,Levi Pereira,416.250.379-61,henry-gabrieloliveira@example.net,94 91898-4713,2004-03-07,Vargas,SE,2026-07-01,0
266,Maria Julia Souza,369.108.472-96,lda-cunha@example.org,91 98515-8673,1967-01-05,Viana Grande,MS,2024-02-01,0
267,Dr. Antônio Ramos,908.561.234-98,eloa18@example.org,75 96064-4134,1978-01-09,Castro,PB,2025-09-23,0
268,Maria Luísa Vieira,041.635.872-17,castrovicente@example.net,+55 33 95698-5700,1988-08-25,Pires,PB,2024-01-13,0
269,Alexandre Guerra,345.807.162-80,uvieira@example.com,87 92429-5431,1999-07-07,Freitas da Serra,MG,2025-05-30,0
270,Heloisa Almeida,083.971.256-12,guerraliz@example.net,+55 99 92152-9108,2005-04-28,Vargas dos Dourados,TO,2024-04-16,0
271,Henry Gabriel Silva,394.258.701-79,pedroda-paz@example.net,+55 79 96262-0443,1991-07-11,da Cruz de Freitas,RJ,2024-10-14,0
272,Antonella Albuquerque,725.931.684-55,diogo18@example.org,+55 28 95375-9900,1992-04-01,Montenegro das Flores,MA,2025-06-09,0
273,Sr. Asafe Pacheco,249.837.506-65,sofia62@example.com,+55 49 95027-4564,1972-07-18,Pimenta Paulista,PE,2025-07-16,0
274,Levi Sousa,729.015.638-21,melovicente@example.org,84 96170-7587,1966-12-26,Monteiro de Camargo,SC,2024-07-15,0
275,Luiz Fernando Borges,342.618.790-69,mouraluiz-miguel@example.com,+55 37 93715-0416,2004-09-04,Pastor do Campo,TO,2023-04-25,0
276,Bruno Marques,794.850.261-02,jose-pedro30@example.net,16 95018-9616,1967-09-14,Cavalcanti de Goiás,SP,2023-05-04,0
277,Antônio Costela,268.951.047-20,zsousa@example.com,+55 55 95158-3776,2004-08-01,da Mata de Nunes,RN,2024-05-19,0
278,Maria Eduarda Pimenta,268.074.915-49,mayamoura@example.net,+55 41 94761-7422,1974-06-23,da Cruz do Galho,PA,2023-01-26,0
279,Yuri Barbosa,081.435.972-88,thomas91@example.net,+55 15 91722-6016,1965-10-17,Dias Verde,SC,2025-02-07,0
280,Milena Pinto,452.160.739-06,bnascimento@example.org,61 91027-7697,1976-08-25,Pinto da Praia,RR,2025-11-27,0
281,Maria Laura da Rosa,128.096.473-13,costelamaria-luisa@example.net,+55 64 93683-1472,1991-07-16,Lima de Almeida,AM,2025-08-15,0
282,Pedro Miguel Mendonça,709.415.236-16,fariasantony@example.org,71 96799-8407,1956-12-27,Mendonça do Galho,RJ,2026-07-10,0
283,Raquel da Conceição,089.342.715-23,fcamargo@example.net,41 97602-4375,1994-12-30,da Conceição de Montenegro,ES,2025-04-14,0
284,Maitê Pereira,724.563.981-73,ncastro@example.org,16 91722-3297,1985-09-04,Vieira,PA,2026-07-21,0
285,Gustavo Henrique Novais,095.261.478-20,fernandeslorena@example.org,+55 91 91837-4550,1979-04-14,Cassiano do Galho,RN,2023-12-23,0
286,Srta. Maysa Marques,198.640.532-05,eloacastro@example.net,18 97871-2552,1991-03-31,Costa,PB,2023-02-16,0
287,Joaquim Melo,542.079.316-43,sofialeao@example.org,+55 62 96667-8507,1973-12-23,Vargas,AC,2025-12-15,0
288,Ana Lívia Barros,596.713.084-57,danilopires@example.net,99 94668-4550,1994-07-09,Moura Grande,RR,2026-02-11,0
289,Gabrielly Nogueira,975.683.140-57,nascimentobruna@example.com,+55 54 98843-1884,1973-03-04,Sá da Serra,AC,2024-08-01,0
290,Joana da Costa,461.502.937-34,aragaojosue@example.com,21 99075-3998,1947-08-02,Ferreira,MA,2026-06-22,0
291,Dra. Cecilia Silva,683.024.175-80,casa-grandelais@example.com,+55 38 91062-7371,1965-01-18,Rocha do Galho,MG,2025-07-10,0
292,Maria Laura da Luz,976.358.402-74,maria-vitoriasilva@example.com,+55 55 98813-7702,1985-09-18,Campos das Pedras,AM,2025-01-23,0
293,Lavínia Aparecida,821.965.473-28,vieirajoao-pedro@example.org,67 90443-2701,1953-11-29,Azevedo do Norte,PA,2024-04-04,0
294,Rael Fernandes,672.914.358-46,ayllaborges@example.net,64 96365-8074,1978-06-06,Cavalcante,RR,2025-02-14,0
295,Luana Novais,189.745.023-05,bmontenegro@example.org,+55 75 90433-9718,1947-05-17,Guerra Verde,AL,2025-02-12,0
296,Luigi Lopes,260.849.317-31,britovitoria@example.org,17 92241-2462,1979-02-17,Pimenta,MT,2026-05-09,0
297,Srta. Letícia Gomes,152.378.604-35,rhavisa@example.net,+55 93 97886-1405,1958-01-13,Novaes de Jesus,AP,2022-10-20,0
298,Isabel Almeida,481.796.235-64,obarros@example.net,+55 84 92582-3868,1978-08-20,Aparecida de Abreu,TO,2022-10-22,0
299,Lavínia Rezende,208.394.561-15,otavio98@example.com,+55 24 92891-4161,1977-04-21,Silveira,PI,2026-03-19,0
300,Giovanna Pimenta,859.723.601-95,otto79@example.com,+55 15 92097-0026,1964-09-13,Teixeira de Gonçalves,PI,2026-06-03,0
301,Ana Vitória Nascimento,071.234.689-96,camposmaria-eduarda@example.com,+55 81 97030-4531,1951-03-17,Silva de Goiás,ES,2026-01-13,0
302,João Lucas Monteiro,930.158.762-95,mathiasribeiro@example.net,+55 73 91921-2493,1979-04-16,Correia do Sul,RR,2024-03-24,0
303,Isis Rodrigues,870.359.216-21,joaquim87@example.com,45 98030-4687,1991-10-22,Abreu das Flores,DF,2024-12-13,0
304,Amanda Sousa,361.785.240-80,alvesmaria-luiza@example.com,+55 17 99543-1735,1968-06-18,Farias,PE,2023-01-13,0
305,Pedro Lucas Teixeira,179.065.384-39,davimacedo@example.org,22 99611-0804,1999-09-22,Guerra do Campo,RN,2023-09-10,0
306,Anthony Marques,679.480.235-00,vmoreira@example.net,+55 81 91109-1939,1996-11-09,Porto,PE,2024-06-07,0
307,Rafaela Silveira,972.160.435-61,pmoraes@example.com,27 99822-7495,1963-02-16,Freitas do Sul,PE,2024-03-13,0
308,Clara Araújo,380.921.457-41,fernandesmarcos-vinicius@example.net,86 97959-9594,1985-08-05,Farias da Serra,AM,2025-06-25,0
309,Thales Câmara,038.741.562-90,zcostela@example.org,+55 12 95015-0812,1976-08-07,Macedo do Oeste,RS,2026-05-30,0
310,Sr. Arthur Costa,342.176.590-16,matteoalmeida@example.org,11 91026-1534,1985-07-17,da Costa de Freitas,SE,2026-07-26,0
311,Vinicius Pinto,618.795.423-82,anna-liz96@example.net,+55 95 90993-8425,1971-01-09,Aragão,RS,2025-06-30,0
312,Thomas Pacheco,731.684.059-57,melina87@example.org,32 95877-7496,1999-10-30,Costela,ES,2023-11-17,0
313,Isabela Gonçalves,346.981.250-06,enzo-gabrielda-rocha@example.com,98 95390-7895,2006-08-01,Machado dos Dourados,PA,2023-07-20,0
314,Luiza da Mata,602.317.859-68,melissa88@example.net,+55 38 94311-1508,1973-07-07,Farias,DF,2024-03-31,0
315,Kevin Souza,432.659.701-16,cecilia66@example.net,+55 14 97826-3337,1991-08-17,Moreira,RJ,2024-02-01,0
316,Nicole Fernandes,153.786.942-64,freitasjoao-lucas@example.net,+55 54 94075-5366,1999-03-04,Teixeira da Prata,MA,2025-01-13,0
317,Arthur Gabriel Carvalho,256.317.098-21,maria-lauracaldeira@example.com,79 94121-8209,1967-11-16,Alves de Cirino,DF,2025-03-07,0
318,Larissa Costela,341.902.567-06,kgoncalves@example.org,+55 55 98671-6323,1950-06-01,Lopes do Amparo,CE,2026-07-24,0
319,Guilherme Montenegro,743.019.658-66,mariane77@example.net,+55 22 91475-4692,1986-10-08,da Cruz da Serra,RN,2025-02-17,0
320,Maria Isis Ribeiro,216.508.439-33,sampaiopedro-henrique@example.com,65 98151-1856,1995-08-01,Cavalcante de da Cunha,DF,2024-07-10,0
321,Amanda Barbosa,765.931.802-03,ian25@example.net,83 97711-8372,1980-02-15,da Mota de Castro,CE,2022-11-16,0
322,Beatriz Cavalcanti,416.805.297-49,luiz-henrique30@example.net,+55 87 97081-6470,2002-09-29,Aragão,SP,2022-10-06,0
323,Josué Freitas,391.086.475-93,camaragael@example.net,+55 69 92068-1558,1971-05-15,Pinto,DF,2025-12-12,0
324,Bárbara da Conceição,315.280.967-03,gomesotavio@example.com,+55 88 91495-0136,1982-07-20,Vargas do Amparo,AM,2024-05-13,0
325,Eloá da Cunha,156.879.204-20,vazevedo@example.org,77 96838-9030,1994-03-05,das Neves,ES,2024-12-18,0
326,Bruno Araújo,257.918.306-02,liviasousa@example.com,+55 61 94508-6403,1995-11-25,Fernandes de Goiás,DF,2024-07-04,0
327,Isadora Rodrigues,365.190.487-39,cauaporto@example.org,+55 84 92129-8338,1982-05-21,Lima,SC,2022-12-01,0
328,Gael Henrique da Cruz,623.894.750-00,maria-luisa15@example.com,49 92776-8962,1977-06-21,Almeida de Teixeira,MG,2024-01-04,0
329,Kaique Peixoto,829.735.614-00,mnovais@example.com,+55 35 95273-2300,1974-10-09,Mendonça das Flores,PA,2026-04-26,0
330,Dr. Samuel das Neves,916.073.854-57,cecilia87@example.net,47 90663-3705,1972-07-17,Sampaio,RO,2025-11-03,0
331,Rafael Rodrigues,243.861.079-40,tgoncalves@example.net,+55 38 98362-6448,1989-08-07,Pastor da Mata,SC,2023-04-25,0
332,Srta. Bianca Porto,952.781.364-64,cavalcantemariane@example.org,+55 44 91686-4622,1973-09-11,Cirino Grande,DF,2025-11-19,0
333,Brenda Machado,932.106.487-78,npires@example.org,+55 69 91416-1415,1978-10-16,Pacheco,ES,2023-06-17,0
334,Beatriz Albuquerque,049.587.632-10,hpereira@example.com,89 97596-5555,1978-03-17,Fonseca,RO,2024-09-30,0
335,Ana Laura Fogaça,510.396.872-02,theo57@example.net,86 98630-5050,1972-10-20,Rocha dos Dourados,ES,2024-04-17,0
336,Anna Liz Ferreira,671.532.840-44,cardosomaysa@example.org,22 98727-1783,1986-12-23,Cunha,CE,2024-09-29,0
337,Srta. Bianca Lopes,025.381.764-17,riosjoao-gabriel@example.net,91 91539-9156,1996-12-11,Rezende da Prata,PA,2025-06-28,0
338,José Pedro Camargo,418.029.756-67,jose-miguel56@example.net,+55 11 94098-3665,2000-09-13,Rocha Grande,PE,2023-09-05,0
339,Hellena Caldeira,607.219.534-25,alicecasa-grande@example.net,+55 19 99548-1497,1990-11-08,Monteiro,MA,2025-03-30,0
340,Lucas Gabriel Cassiano,390.618.457-93,novaesheloisa@example.com,68 97566-1844,1993-08-08,Sampaio,PI,2024-04-15,0
341,Lorenzo Sá,904.351.762-34,joao-vitor33@example.net,+55 82 90591-2662,1972-06-25,Brito,MS,2023-02-06,0
342,Dante Moraes,562.983.107-03,isabellamendonca@example.com,+55 73 96176-4750,1977-12-07,Camargo,AP,2023-06-14,0
343,Sophia Câmara,074.569.132-34,kda-rosa@example.org,+55 45 95182-6068,1953-12-28,Azevedo de Moreira,TO,2024-10-06,0
344,Dra. Camila Sá,312.648.075-62,joaquim02@example.net,+55 84 92184-0118,1985-06-23,Fonseca da Prata,CE,2024-12-23,0
345,Josué da Rosa,084.573.126-26,rebeca59@example.net,96 93103-0324,1974-06-22,Carvalho,RN,2025-06-26,0
346,Maria Alice da Mota,261.495.380-60,fmarques@example.com,68 92831-4359,1983-04-03,Leão,TO,2023-08-09,0
347,Maria Helena Alves,931.204.567-99,fariasfelipe@example.com,35 94234-0163,1956-02-18,Caldeira do Campo,CE,2024-01-12,0
348,Samuel Brito,854.726.039-00,heloisa25@example.net,63 97924-0822,1981-07-06,Garcia,RJ,2025-10-13,0
349,Léo Santos,367.192.548-55,liz83@example.com,+55 42 94651-1131,1995-09-25,Oliveira,AL,2023-10-28,0
350,Yuri Monteiro,062.384.915-15,anthony-gabrielsilva@example.com,41 93890-9728,1951-06-11,Cavalcanti,AP,2025-11-05,0
351,Théo Fogaça,067.312.958-68,da-rochaana-clara@example.com,19 94309-6348,1970-08-31,Martins,RN,2026-04-03,0
352,Luiz Henrique Abreu,975.260.413-70,afogaca@example.org,71 97318-8261,2003-06-01,Abreu de Cassiano,SP,2024-10-05,0
353,Ravy Gonçalves,549.318.207-60,icastro@example.com,73 90531-3402,1990-05-15,Leão Alegre,AL,2023-10-01,0
354,Rhavi Rios,416.397.852-64,hcardoso@example.org,+55 16 92258-0305,1956-08-05,Peixoto do Sul,PA,2025-07-08,0
355,Ryan Barros,632.541.980-42,thales63@example.com,+55 46 98923-9231,1978-05-13,Guerra,AL,2023-12-01,0
356,Paulo Almeida,931.608.427-03,pedro-miguelfernandes@example.com,87 90860-4145,1964-04-27,Ferreira das Pedras,ES,2023-07-03,0
357,Fernando Aparecida,095.123.748-97,qcirino@example.com,46 95411-0825,1967-06-14,Sousa da Praia,SC,2026-06-29,0
358,Maria Fernanda da Costa,436.071.582-07,maitebrito@example.org,38 94738-2023,1998-09-07,Novaes Paulista,SP,2025-03-10,0
359,Manuella Fonseca,716.035.948-84,amandaaparecida@example.net,+55 32 93678-8127,2003-10-06,Novais das Flores,MG,2026-04-14,0
360,Francisco Abreu,230.648.917-31,vitor-gabriel81@example.org,+55 89 90834-0242,1987-01-03,Vieira do Norte,RS,2023-11-03,0
361,Vitor Camargo,058.294.637-92,spimenta@example.com,+55 31 90534-2408,1962-08-19,Silveira,SC,2026-03-10,0
362,Jade Pires,983.671.240-22,ccassiano@example.org,73 95271-7272,1992-07-06,Correia,RJ,2024-04-23,0
363,João Miguel Almeida,428.639.107-87,limasamuel@example.com,63 91820-9166,1979-01-24,Camargo,TO,2025-10-15,0
364,Ana Clara Cardoso,314.857.092-88,enzo-gabriel32@example.com,75 92457-2308,1946-08-10,Pires da Prata,AM,2025-12-06,0
365,Cauã Nogueira,416.807.539-75,wcasa-grande@example.net,17 93617-2131,1947-02-17,Fogaça de Minas,RN,2026-03-12,0
366,Sr. Augusto Pereira,296.487.153-19,ana-juliapinto@example.com,42 91475-4102,1968-05-24,Dias,BA,2023-03-10,0
367,Sra. Ana Lívia Camargo,964.102.853-70,antonella76@example.com,65 99523-6687,1972-04-07,Nascimento de Nascimento,TO,2024-08-01,0
368,Otto Moura,931.720.648-40,hcarvalho@example.org,42 95247-2863,1961-05-06,Câmara,AL,2024-04-27,0
369,Diego Garcia,065.978.413-01,casa-grandeemanuelly@example.org,+55 38 93109-6227,1996-07-08,Souza,PE,2023-04-10,0
370,Maria Sophia Silveira,570.281.963-21,milenacastro@example.org,61 96784-9843,1993-03-22,Castro Paulista,AP,2023-12-17,0
371,Heitor Guerra,903.714.825-50,pdias@example.net,63 96205-6341,1981-03-04,Barbosa,MS,2024-04-16,0
372,Sr. Isaque da Paz,281.074.653-26,benicioda-costa@example.com,+55 41 99909-7005,1986-09-25,das Neves,AC,2025-12-30,0
373,Miguel Montenegro,356.821.047-90,montenegrokaique@example.org,51 97904-2271,1969-12-15,Silva,ES,2025-11-18,0
374,Cecília Vargas,285.319.476-00,silvahellena@example.org,+55 85 99912-9710,2005-11-13,Vargas,MA,2023-08-08,0
375,Theo Brito,752.910.638-40,felipe12@example.net,82 94747-2197,1982-12-02,Fonseca,MA,2026-05-17,0
376,Caroline Macedo,589.203.417-88,sousasamuel@example.net,+55 13 92146-2961,1972-12-20,Gomes,PB,2024-06-04,0
377,Dr. Ravi Lucca Ramos,871.096.354-57,efarias@example.com,38 99737-1470,1991-03-22,Melo,BA,2023-01-31,0
378,Sr. Mateus Araújo,567.108.924-76,thiago21@example.org,+55 34 94614-7683,1989-04-02,Cirino do Norte,AP,2023-08-05,0
379,Manuela Sá,423.875.960-56,sfogaca@example.net,54 90893-1992,2006-08-03,Rios Alegre,AC,2026-07-09,0
380,Clara Monteiro,516.240.398-98,andradepedro-henrique@example.net,+55 79 96829-6353,1955-12-05,Rocha,RJ,2026-07-01,0
381,Sr. Kevin das Neves,817.536.492-00,wmoreira@example.com,+55 49 92765-2892,1946-08-31,Garcia da Mata,RO,2024-04-05,0
382,Larissa Sampaio,918.605.427-94,monteiroyasmin@example.org,75 98904-6337,1992-07-17,Camargo do Oeste,PR,2025-07-30,0
383,Maria Sophia Ramos,605.914.273-70,kamilly30@example.com,+55 19 90025-8955,1954-02-25,Oliveira,PA,2024-03-05,0
384,Evelyn Pimenta,609.153.742-34,luizada-conceicao@example.org,+55 54 98196-4825,1962-02-21,Borges,AP,2025-01-18,0
385,Eduardo Alves,981.430.752-14,rhavirezende@example.org,21 93836-4041,1947-06-07,Pires,AC,2024-07-18,0
386,Daniel Marques,918.725.604-58,nfonseca@example.com,+55 45 97061-7136,1989-02-16,Dias dos Dourados,SE,2025-02-23,0
387,Anthony Cavalcanti,901.263.847-03,correiabento@example.net,+55 16 98823-5130,1956-08-25,Carvalho de Goiás,AP,2023-06-14,0
388,João Felipe da Mota,731.254.698-64,zmoraes@example.org,+55 97 92346-1994,1995-03-18,Vieira,DF,2025-08-17,0
389,Melissa Lima,945.806.317-57,evelyn17@example.org,+55 19 98496-4985,1994-10-27,Alves do Campo,CE,2024-10-04,0
390,Ester Fogaça,319.526.870-12,diasantonio@example.net,34 93795-3816,2000-09-27,Pereira do Oeste,PE,2024-01-22,0
391,Lara Silva,916.532.407-25,monteiromelina@example.org,14 96117-2959,1960-06-26,da Costa Verde,AC,2023-02-14,0
392,Alana Martins,426.095.713-99,melogabriel@example.com,22 94556-1857,1965-01-30,Gonçalves,MA,2022-10-05,0
393,Camila Freitas,910.875.643-01,kcamara@example.org,+55 79 95800-4010,1993-01-29,Barbosa Paulista,MT,2024-08-14,0
394,Júlia Sampaio,297.018.543-14,hrios@example.net,+55 94 99774-5731,1992-07-01,Vargas da Mata,RR,2025-04-16,0
395,Isabelly Ribeiro,318.907.526-30,mgomes@example.com,+55 46 95398-8547,1951-04-27,Montenegro,AM,2024-03-09,0
396,Luiz Otávio Gomes,783.691.042-31,ana-lizoliveira@example.net,+55 46 92711-3072,2007-11-22,Alves do Amparo,RO,2023-03-29,0
397,Dr. Dante Novaes,156.973.428-37,macedoyago@example.com,+55 45 90663-4362,1981-10-24,Moura do Amparo,PE,2024-08-11,0
398,Ana Julia Ramos,319.065.247-34,da-motarael@example.net,63 96613-4732,1975-03-11,Ferreira,RS,2023-02-24,0
399,Laura Siqueira,012.456.378-35,luigidias@example.net,+55 34 92257-2076,1965-04-14,Almeida da Serra,GO,2025-09-08,0
400,Anthony Peixoto,570.316.842-26,rafael88@example.org,+55 64 91145-7758,2005-08-27,Ribeiro do Amparo,GO,2023-01-05,0
